746010 - [agosto 06 del 2026, 10:53:49 am], Método: GET, Ruta: /api/usuarios
08bb6b - [agosto 06 del 2026, 10:54:07 am], Método: GET, Ruta: /api/usuarios
585e27 - [agosto 06 del 2026, 10:54:08 am], Método: GET, Ruta: /api/usuarios
77d769 - [agosto 06 del 2026, 10:54:09 am], Método: GET, Ruta: /api/usuarios
e445d0 - [agosto 06 del 2026, 10:54:11 am], Método: GET, Ruta: /api/usuarios
b208ab - [agosto 06 del 2026, 10:54:35 am], Método: GET, Ruta: /api/usuarios/d7e2c4a0-ba4f-42f1-806e-fbc3ff6c844d
3dc775 - [agosto 06 del 2026, 10:54:51 am], Método: POST, Ruta: /api/usuarios
832cec - [agosto 06 del 2026, 10:55:08 am], Método: PUT, Ruta: /api/usuarios/d7e2c4a0-ba4f-42f1-806e-fbc3ff6c844d
1784c2 - [agosto 06 del 2026, 10:55:40 am], Método: DELETE, Ruta: /api/usuarios/d7e2c4a0-ba4f-42f1-806e-fbc3ff6c844d
6328af - [agosto 06 del 2026, 12:16:46 pm], Método: GET, Ruta: /api/usuarios
a17800 - [agosto 06 del 2026, 12:16:46 pm], Método: GET, Ruta: /favicon.ico
cc14fd - [agosto 06 del 2026, 12:16:49 pm], Método: GET, Ruta: /
ab9405 - [agosto 06 del 2026, 12:18:24 pm], Método: GET, Ruta: /
c6f76c - [agosto 06 del 2026, 12:19:33 pm], Método: GET, Ruta: /
a7f7e4 - [agosto 06 del 2026, 12:20:05 pm], Método: GET, Ruta: /
7c0510 - [agosto 06 del 2026, 12:20:19 pm], Método: GET, Ruta: /
401f26 - [agosto 06 del 2026, 12:24:23 pm], Método: GET, Ruta: /
1e6832 - [agosto 06 del 2026, 12:25:14 pm], Método: GET, Ruta: /
92b36e - [agosto 06 del 2026, 12:25:26 pm], Método: GET, Ruta: /crear-usuarios
b9245a - [agosto 06 del 2026, 12:25:45 pm], Método: GET, Ruta: /crear-usuarios
908765 - [agosto 06 del 2026, 12:26:01 pm], Método: GET, Ruta: /api/usuarios
7d182b - [agosto 06 del 2026, 12:29:35 pm], Método: GET, Ruta: /crear-usuarios
2aa637 - [agosto 06 del 2026, 12:30:03 pm], Método: POST, Ruta: /api/usuarios
